Index,Score,A_abd,A_flex,A_lat,delta_abd,delta_lat_1,delta_lat_2,delta_lat_3,k_lat,t_abd,t_flex,t_lat,t_lat_delay
719,-25.123242182625628,0.20441965085153413,0.26669592908292494,0.2160821198018372,0.5422432203629169,2.1275840717771355,0.5441667314202414,0.37448037182775173,0.5171174121546633,0.165017451530112,0.0288921948876941,0.13681710127838223,0.029821016284267542
469,-18.330720994709452,0.2289749676716448,0.27474425617032133,0.20040780182025603,0.24079198443134486,1.6426960907547477,0.212139952100209,0.34256706546043747,0.5372801460540075,0.254835533057446,0.002816994637209046,0.202409796152796,0.03688026871124172
650,-16.732390443229665,0.2576756104122293,0.2903689455876871,0.21411510534081324,0.6704742132878094,1.9636030854058302,0.00012574928721278966,0.45490018245651564,0.5286723350834645,0.25961283029557053,0.023751083525005746,0.12149331478723933,0.02819525575811
934,-14.945683736380687,0.228172127280118,0.27203501193133406,0.22270357629203796,2.0567548649772265,1.8322614180259702,0.40598975621481226,0.4802597801352806,0.5398225866880573,0.01451752992247543,0.2029763126284421,0.35508905676725877,0.03826999975540718
479,-14.694784620124938,0.25801116960643616,0.29414500483402534,0.20229112355414983,0.041223829376847765,2.1456045647063107,0.1637679434120516,0.11642838797572744,0.5081976542174532,0.24479725899301272,0.04923876361829109,0.15601105953681188,0.04284636082926006
898,-14.35967447229739,0.29325512214745975,0.27662002382324785,0.22654659724338697,0.19568291733975113,1.384728023763342,0.5978941338842199,0.5603750920906576,0.5265651427434761,0.08546945111585268,0.12188457341025129,0.39663951288013904,0.07351356977929016
366,-12.180520892393947,0.21523842889596115,0.27910756079609556,0.22636845230559408,2.990314522946057,1.5462621903119667,0.0732598403723217,0.34622979399944587,0.5202618190394497,0.13869478594534332,0.02318142070452847,0.33637256518206166,0.02998837013858699
472,-10.055342570541221,0.25227846758420636,0.27357111959554165,0.20109928996254317,0.46338439104364565,1.8749001258457987,0.044478383580540626,0.002991845017915218,0.5194516945163813,0.23532849211417703,0.001084280388895153,0.18976355840698908,0.043538624437352985
527,-10.025991083449377,0.2409821418210978,0.2555513817716728,0.20042994252534727,0.4355842910850995,2.2357001639968583,0.3320655445709706,0.45403742363995403,0.5218873358555641,0.22586515962785944,0.023749520934667565,0.20453658449083406,0.02554343207180685
622,-9.73166498874605,0.2742235159817952,0.22612475635436552,0.21134471654035222,0.6533587669316204,1.9455060283741004,0.2298943168925676,0.05328911034061984,0.557764112812594,0.2685750792035147,0.03481600748778057,0.19871731290182287,0.042859770075815526
490,-9.18571132081405,0.28625562538007265,0.2802486295462546,0.20022450469393505,0.33987136097217097,2.270236869581291,0.2514894988159609,0.15715669527168194,0.500089155809254,0.2505149465286979,0.017194376034755758,0.133242120882074,0.0444516932397196
775,-9.061682204712096,0.2633366387409942,0.2860533730782029,0.21509703819035494,0.160494411123223,2.334164832283314,0.6507527206031666,0.32044366456127094,0.5255509678492483,0.0945873740652389,0.03732257992319339,0.17693571226508303,0.028963198159056302
601,-9.06022002654582,0.22360939670287325,0.25833118138778277,0.20002864924764607,0.2753187984990332,2.292547574657363,0.3275852519685713,0.09726693967952202,0.5454784448620726,0.21608880954526846,0.052875763357933994,0.18911029597691092,0.045352787119696494
584,-8.405221432820355,0.23153313542446755,0.2723631217534368,0.203792555755412,0.14279277373369004,1.7089233491812001,0.1647276029440193,0.11398184573160877,0.5196001336967597,0.25705353565707945,0.02704134437868701,0.16205730505808344,0.04762488561764038
892,-7.687685482634166,0.2742107405735662,0.2879416540931623,0.2359944137964812,0.32888859494272565,1.8045478140691151,0.12388806632224789,0.45677553281828637,0.5202244931496478,0.3024399129122772,0.04977268850021854,0.24496771143629448,1.4895006692716706e-05
478,-7.560893834386672,0.24187585039749143,0.29409635934524153,0.20204537904122055,0.0479437988534393,1.8092676032036048,0.003677983369415175,0.013473121270640098,0.5161148357393817,0.27017531090905456,0.05076064171055693,0.1537996616538329,0.04368981148665246
868,-6.935307842897956,0.29756285985837516,0.2918280399577134,0.20644902625637424,0.5639512157120551,2.069206440749732,0.47694090073565526,0.756533620656187,0.500051855065957,0.1878634845782786,0.018435716182475546,0.15484696295788275,0.031681092609389463
613,-6.7251077942028346,0.25761332112419855,0.28037221340286994,0.21690214476546624,0.4545631238260926,2.7788497843941253,0.5450978317085402,0.31170123063982824,0.5000228823343124,0.24713890699096802,0.09046673685338487,0.22055564941196937,0.05991684401820961
296,-6.6788347420542085,0.16349952036632645,0.26823879211649426,0.3466523972508299,2.7392443321512765,0.7441461714956636,0.6873312735595805,0.4808883658377907,0.5434951903416659,0.2601390410285034,0.49765450703412467,0.02242308409200572,0.018581066178518527
603,-6.507039056997822,0.21594603024151687,0.24547895633548905,0.2240825390014504,0.41912725950782503,2.5368491738334393,0.6827383420062756,0.16072092536863614,0.5482778300537476,0.2147908295531359,0.07941415620725081,0.22001584765873336,0.042352268610719425
728,-6.243015560583014,0.2144740438670147,0.27244464753276854,0.22285760013354966,0.37377330274313314,2.679328544509221,0.5335957812645249,0.5614995052869776,0.6801162691912245,0.1440822775169025,0.0663539481650471,0.1546294202729406,0.0003565200655530863
787,-6.17462742135227,0.2717018483388974,0.235445657072115,0.2000129284509406,0.5805776614963829,2.105865330632912,0.1976349195391804,0.06543863779177558,0.5337286461405798,0.28175650908925626,0.032738533922490855,0.17024912767863748,0.04170716868611739
506,-6.057803238802137,0.2988145444339325,0.2844802947580382,0.2002021554192439,0.19674309794675757,2.252951350419637,0.28299418938344495,0.37717013182278714,0.5089158370463314,0.2939878473136541,0.027458081503901142,0.19548324971106792,0.03164595207398531
19,-5.42797581607004,0.16246520357637545,0.2694618660003546,0.23579591246085038,2.9372268311303893,0.9627318228020322,0.9986669400682812,0.22909348235750587,0.5076938853934154,0.10684727228406904,0.00036755923204506713,0.06643619577275206,0.22548077890366625
827,-5.121486988753528,0.24208159187469314,0.25555039179891426,0.2131603478536248,0.7416121692687615,1.4263273816154491,0.06785004228361335,0.0025300106687087577,0.5193554196112424,0.23351274525934324,0.03912849102858648,0.2451398922100821,0.043892996808812146
585,-5.087490964550074,0.22005194062126382,0.27282240256653234,0.2000757603257801,0.42632944206542966,1.6459283495388477,0.3403795286199427,0.3354850149345742,0.5383717127119179,0.25446336560359334,0.014863808648289114,0.18195044099058003,0.028291565265055177
