Index,Score,A_abd,A_flex,A_lat,delta_abd,delta_lat_1,delta_lat_2,delta_lat_3,k_lat,t_abd,t_flex,t_lat,t_lat_delay
416,-383.7012971642523,0.16516738314116347,0.273837234647572,0.14547156239260806,0.164770551319881,0.42617507162083745,2.821242761028064,0.4598671471340708,0.6417147152071759,0.4812994451773223,0.07766233488062178,0.00014471984108783628,0.17371868161349413
746,-344.37511741382684,0.15697348554153748,0.26497939101433743,0.11694949494279006,0.22713166882927188,0.8368916728912814,2.7140233681921786,0.2348564697437943,0.8242393145508965,0.3566511891043116,0.13504493076180402,0.26749513319874635,0.19168276426520497
957,-343.9095370949829,0.11209933703135232,0.10653789175581616,0.15147560370449284,0.41029644825469286,0.3954902515323855,3.011159310338871,1.1978474536430914,0.6953932770144656,0.4184382916239906,0.1442734622157637,0.020474944686351745,0.22797336939646323
67,-331.64183368928394,0.1437165961209306,0.2611303945527157,0.10998989538750382,0.3033895651374554,0.9237183145047126,3.1359925502149784,0.2645924641257853,0.5868532101489263,0.4315152451404435,0.2062665766969255,0.2599213050606046,0.21725045398118947
911,-319.9156152448211,0.12716448337055788,0.12137843363521185,0.13597584707489604,0.3660631554942607,0.4097133584873536,2.6278951904648102,0.4148367571235577,0.7304132774327542,0.4445540413915024,0.18486742203300538,0.008326530882254747,0.24101104140191992
308,-305.7287093867759,0.14104591665000293,0.16738618386294848,0.13284505418683354,0.3533868585601849,0.7705674425241453,2.7358532898584613,0.7803988623701756,0.57285276448257,0.4299950465328128,0.07019219444563425,0.0942505420669835,0.23995388997048916
915,-302.85669366294036,0.11045480780924208,0.11048977480944752,0.14298074932205732,0.6782196433961605,0.3170738824777506,2.917599910766942,0.7450981991697642,0.7475741580328752,0.44347320625845704,0.17132545606755295,0.29021247068837147,0.24980616746278694
235,-298.6426960106139,0.12233435230899355,0.16993073286679125,0.15004007217801862,0.9554692125215749,0.6080656140137461,2.6707427853203045,0.5266292245073242,0.7098453739706955,0.46994923069892885,0.28640587489383174,0.05847128117179093,0.22086154698588098
932,-297.27309030453677,0.12696341794802338,0.11180554929220549,0.14224575504147843,0.8929623380285321,0.3007567142775953,2.9211580867921993,1.0089779150636033,0.7568257600331267,0.4408583029928828,0.1547568167641599,0.02058407365881762,0.24659513960131127
282,-275.3744576866034,0.12685167320303112,0.19711209993314574,0.12957048033681123,0.7096963511819332,0.8708609434757953,2.629847355497247,0.2798375013706345,0.7889848481873675,0.39742670279753545,0.20214246841646413,0.02790230415274339,0.2304226600605505
832,-266.0104616632843,0.12922833473517156,0.23396584425073652,0.1000143763094773,0.38438744394466146,0.3568423788454816,2.5063021103352088,0.420583710767201,0.6596028257748945,0.3905065249141465,0.09194797010209757,0.28043827914322,0.22473053198291798
