Index,Score,A_abd,A_flex,A_lat,delta_abd,delta_lat_1,delta_lat_2,delta_lat_3,k_lat,t_abd,t_flex,t_lat,t_lat_delay
1307,46.972449913729406,0.055866021732289,0.05806118702926326,0.05515553941376141,2.1669631865670405,2.3002749956823116,1.7439689267201453,2.0826672821298735,0.5499351687997448,0.15033379509037376,0.4222887777162018,0.2788768534529896,0.05207290683736747
1376,49.644721899430344,0.06762201275412225,0.052694574112614925,0.06063162701508158,2.535067445350104,2.371883114859409,1.9661491827330464,2.2652397362792427,0.5275395566057579,0.2082804463884652,0.4940662663261475,0.4166513108763533,0.03199103490565866
827,53.06917090456889,0.05007701653714881,0.06277921212294726,0.058476728302726,2.527391367729578,2.3949359060009603,1.6133765042903452,1.9699148264322102,0.5318424224577416,0.16260960560193188,0.48259877874462687,0.37941253624356913,0.03773897722194927
603,54.32731838252763,0.0569400653295195,0.05801994495912801,0.05577132779379767,2.4471675422268677,1.2254099107411371,1.7772514962081531,2.239225796602843,0.5323251003289575,0.14758153367122923,0.4149156987871872,0.4088875213017755,0.005914764482582629
916,54.596615595597335,0.05010183684279353,0.0582550653103714,0.05455635166340788,2.7659510305669035,2.342270525396363,1.6510519551136853,1.876436774615574,0.5233060095206826,0.14958696451478165,0.4630971284899445,0.456379323830468,0.07417377176227266
1497,54.68635828599214,0.06539160118015754,0.06265159794576444,0.056990132783188575,2.380380664434178,2.6076659462550564,1.4800206765607777,1.8387118831332685,0.5432228320704067,0.16780885484175978,0.4677634354410428,0.34778471367184827,0.056830344681368765
1057,54.71491627011413,0.054968231213142586,0.05829259781921335,0.0631861043641248,2.430504134682377,2.4987544520244342,1.3064829518685044,2.3162183397891254,0.5356564718683843,0.14444733733656448,0.4290581069606958,0.3590122849702762,0.09785361496107059
1043,57.10511681035244,0.052265824271694246,0.05448076836441002,0.05309840678626243,2.592341408310113,2.502653027999497,1.2203199701810523,2.4447757674747557,0.526840301425916,0.14423162452371815,0.4209518380248916,0.38135181382315675,0.07393064380914957
1150,58.197371418620655,0.052862338619341115,0.050372229913973776,0.05018095781112082,2.1795664764814457,2.762908928393526,1.7226555023916479,2.2267539409851103,0.582243375070277,0.11893197465799774,0.3678879442982862,0.30424634957496105,0.0607843607349591
1353,58.24684390172728,0.05000396456022048,0.052086271512139834,0.05173564103357144,2.746864795989214,2.5612436681759942,1.2929943526768692,2.2517956070012652,0.5340797139069207,0.08736633912838047,0.4700364848391614,0.3639046565820043,0.040375168111976154
