Index,Score,A_abd,A_flex,A_lat,delta_abd,delta_lat_1,delta_lat_2,delta_lat_3,k_lat,t_abd,t_flex,t_lat,t_lat_delay
377,32.7440817223949,0.07250898465808879,0.05508882365273971,0.07522176610876853,1.6131916405353646,2.8123686654353137,2.6803440507936367,2.8740834310606975,0.6152814876177062,0.4964060293402807,0.32013336961665506,0.49867828362420236,0.00535278051235347
367,35.91833920100189,0.06591565616124306,0.05737962610030374,0.06545891296381554,2.0047626999859753,2.9122881818632007,3.0658586487650297,2.9392126691820186,0.607917124643537,0.4557127696986297,0.33531392450541186,0.47334340237712236,0.010068728165195946
364,36.355884544197224,0.06522289310504804,0.05478383839302042,0.05365537183257422,1.6569559618655303,2.894408387348933,2.9576316090576507,3.0073271238255144,0.6327297929096538,0.4846346630183021,0.31847779618663674,0.48413662304164234,0.008430679211427873
27,36.676025053267004,0.05391781549639413,0.06482054484684371,0.05005419957156084,1.9171706510041808,2.729710630015158,0.4366265358429639,1.36912740482832,0.7461330839412526,0.34661637657438665,0.0024499628035553195,0.44301396688196515,0.13784537729957197
78,37.41360403369166,0.0559054359241219,0.06777049061353518,0.05181167227005121,1.7020133740119785,2.6485387549727375,1.3126039699850445,0.8710944231810447,0.5193049689146249,0.235146912024815,0.03817673206847841,0.48927083893085105,0.021726115730197906
362,38.8518590950426,0.052962979269228966,0.06121426429315646,0.055159730923067356,2.2325776170921108,2.8753468420970423,1.7233387936972069,2.320379788605584,0.5182149698530073,0.4499515695073818,0.4175454835775759,0.49009700758809804,0.015275522430480859
167,39.193665770700235,0.05238859619962192,0.06375175076821746,0.053361366518719436,2.8722207277501695,2.8478139709810457,1.556041564250461,1.7513273654548258,0.7876735292979131,0.22399902643696507,0.04386226526985369,0.25888453282402735,0.055532346943550026
370,39.30685844559684,0.08617112382771334,0.05035351998369547,0.07430927265104767,2.1406239650990684,3.1309573068338428,3.0120149897861173,2.8593636993847626,0.6319003832046154,0.49976883440484543,0.27594494635409905,0.463342009681883,0.016856702523789038
296,40.3630721194912,0.05310407940987919,0.05576907772893461,0.05108237586997564,1.6580445088276914,2.113849045679839,1.8301647843237399,1.0943301451394831,0.6762486987258132,0.2769137538473809,0.4303764302788643,0.38308318778708594,0.07577326024340544
188,41.236140117405434,0.05099012482847161,0.06691722486474155,0.055803125876681146,2.3872536444393138,2.343778608138443,0.7393101245927645,2.055004889328848,0.5227629731906339,0.1655759280291192,0.46182652562194365,0.21834888980082306,0.08883981029514079
257,41.49008412923811,0.05614599333011944,0.06447453170013284,0.05468883889720154,2.270760487141457,2.4654586263125156,1.0994050544536884,1.0278477814676603,0.9937094324337886,0.2250254606143968,0.4440326540474486,0.15391464961730725,0.029053583344211348
184,41.64179594956754,0.056256117148134714,0.0639827826756804,0.05441014857491778,2.2479235145377037,2.362485548897198,1.0833250449489953,1.175013171936099,0.9907454161611275,0.22139143175969975,0.4576972562262712,0.22004087419090193,0.027349065354977345
251,41.762752641353494,0.05002209367183249,0.07388521502950929,0.05476090352725029,2.383204178212278,1.6202678736170932,1.296756985245456,1.9819186222593137,0.6064972397109039,0.26509751575993584,0.07877225953431494,0.49945113783865347,0.06260493644484609
262,42.00688593181642,0.055433924872327074,0.06903677210796424,0.053672437584715654,2.066012927476522,2.111791187450948,0.9386591601242477,0.87030543347145,0.9292229578298247,0.15473720223240345,0.45607129041360445,0.16073874311984196,0.021082841639049388
375,42.12049791994809,0.08186562008397302,0.05905646991983525,0.06643002712063263,1.941729266423938,2.871343396133559,2.7613008111509663,2.945095220580773,0.5672268652531627,0.4864566601298294,0.2898397771316808,0.46249396814956995,0.005868810037176453
292,42.56769899975627,0.0691935123557552,0.06915053249261628,0.054282690589587554,1.5744697038864461,1.9070476095759525,1.6253918341666274,0.6992186253281367,0.8086169524529115,0.2952649758847309,0.08599042687963065,0.3079726093317932,0.01781744029096695
319,43.160289921031755,0.058707097512720144,0.068409643373466,0.051320477227311444,2.054726512639138,2.3208273159718504,1.541915471804052,1.3920009466235896,0.7844166329290415,0.354581597563089,0.24455835208276794,0.29047759171885246,0.08455130379992373
205,43.44216956480275,0.06726643262910847,0.061203097109492274,0.07746357708862504,1.7305578978422398,2.1981803588686892,1.6039720710204028,1.6638755334714146,0.5844206614521191,0.24001443158944777,0.14577864584089606,0.04037861488628741,0.03374715483987157
81,43.8097946396019,0.09160323446961839,0.05653094440347513,0.050003472179191634,1.877365700097076,3.133623199256345,2.1443847803142284,1.0186877449232086,0.7449515097107818,0.2181710968114246,0.0023047131846201897,0.3401059447616752,0.02283424068955011
366,44.529254649717494,0.07950042034421448,0.054419677062506513,0.06319282186659145,1.4887356306890276,3.0697271388578087,2.4327029556730055,2.4796412180870635,0.5339308649396959,0.4833921863749293,0.26668976768115527,0.00042726546384727615,0.0005957403913160013
281,45.031471740714686,0.06295290039504053,0.07466948647449843,0.0501957992573884,2.50904587065056,2.3932608910560944,0.8440468898233832,1.4603637223337016,0.6455492710856847,0.20520802488683174,0.4016485316363704,0.10826554666272722,0.07998495221838356
31,45.472727028976806,0.05058000668824049,0.0834070912817914,0.05011989872858841,2.72197061860443,2.689006631243087,0.03808839409348985,0.8023343040431181,0.7318306660701168,0.44044990309378174,0.043566514551417856,0.45482804711076436,0.12505821654243882
196,45.63769074202672,0.05016818060114546,0.07027054975294578,0.05936188155244326,2.7871222869192223,2.742461260302866,0.8233494919278801,2.1446887710906886,0.55005100882319,0.16254104230037125,0.4130861984228258,0.11202342104759574,0.09732735438504678
181,46.023416459270095,0.09750344821959867,0.06030383114812841,0.053513288776973714,2.4795061253905875,2.1809702267039777,2.0744606141723048,1.6966191646884015,0.7183607524881997,0.2348075469873153,0.05277831317743582,0.13686331970657623,0.004458012558828828
261,46.67783331493032,0.05981228193938535,0.06563144881028894,0.05769475861455797,1.8569644499829157,2.4287617183059176,1.4065982894981874,1.1354607566763208,0.9153472201346511,0.17143888958955084,0.44132736464773015,0.10325133960632024,0.02623231004125535
376,46.93020653314197,0.06653334504052456,0.053880993273199,0.06379564727965326,2.0117942492771648,2.9517399142651297,2.9371063748410906,2.5639204462375464,0.639945854021227,0.4268185069305064,0.3658475855202696,0.4293440109026691,0.023476123920783493
378,47.553456433631794,0.09402322140265156,0.05029317325489795,0.07923735145009322,1.354469567256889,2.767623927665783,3.1385530056366377,2.8500103848368252,0.6126134893718129,0.49889101091050647,0.3179779250258214,0.4404478898470609,1.447271760375568e-05
258,48.15526233823741,0.062423802696253514,0.06650427755201083,0.056628929652469295,2.2920737799642934,2.5649396752551312,1.2300914087312331,0.7465665763552147,0.9574496682535416,0.22428022813500711,0.4479274200962217,0.15383752973305,0.005441497651601786
294,48.187842725756965,0.06487688498611913,0.05802502224846375,0.05704820415918076,2.4145185663033204,2.3343115920915958,0.9102816073766702,1.7310431577247336,0.5400674296898801,0.3552047482600133,0.06982568860489646,0.4626589189750585,0.08251477753971967
183,48.37114770722435,0.07128338678825032,0.0544069759877228,0.06829650733225043,1.3784834433543716,1.289628750321432,1.5398128474425923,1.3068570824653398,0.5444705516262253,0.21061624629760442,0.2697969669691797,0.27162814401654894,0.06949562253329958
345,48.666660306797716,0.05016194140418886,0.07380324494661643,0.053293774602522756,1.9746854446083097,2.588427659646976,0.8232966877567418,1.1480305477198713,0.7124042971594945,0.19750620345969708,0.029464134297038827,0.499309351020552,0.04687477594310373
391,48.82398481005107,0.06955767522000482,0.05871933837978317,0.08048327893427826,1.7605453694246023,3.136972269855632,2.6301722606808173,2.7664114416206558,0.5625188865317307,0.4389994551763485,0.23590492501386817,0.42932062533338944,0.033463839711996256
310,48.853585539296496,0.07390212826112175,0.05790902232485407,0.05266696748413088,1.933492265151602,1.511198762162421,1.6791893687244008,1.5272859634309763,0.7593362431630298,0.30656123237488575,0.20259762976584028,0.42190924849840344,0.09710578153485125
260,49.64450170848822,0.05263524723043588,0.06244617270820502,0.05437083341366723,2.229617034478544,2.7701308036250945,1.0161389513870902,0.8162808148288837,0.9432012613747119,0.20452691477869872,0.4860968902211825,0.14179355477999,0.04559676188186182
69,50.72616549269546,0.05717181981353953,0.08777572895279805,0.05176131342302147,2.0264321813936665,2.1307514362442608,0.5552874106249035,1.246048352622624,0.5203149736668224,0.3826035110125283,0.04083255846720559,0.4662422132597704,0.09183815396522838
272,51.05051917256716,0.06510827888674203,0.06606089162743367,0.057109621052209084,1.5271071817765294,2.7279656290637804,1.0959486686169475,1.2576606359324465,0.9100889541275146,0.26093356391114125,0.380685941962554,0.22861422605555876,0.06051167665238082
172,51.284893757264335,0.05006163796287208,0.06739344804277081,0.057629074219259765,0.6796005565579799,2.779804890307683,1.4884421240731676,1.9420029677947936,0.8390039584613694,0.17258294024070558,2.683634356957093e-05,0.20535785175612742,0.030938013668891866
382,51.35170687819,0.08811899752246813,0.05321753144867042,0.0785931406704302,1.722501348046612,2.9433587906023395,2.901430674437453,2.601364788931348,0.6456959470947247,0.4599481455429947,0.2716107737664707,0.48146016165906724,0.0058819899768895395
182,52.27897589739365,0.0641732465594711,0.06984279519388274,0.0501317843136454,2.7480633916630857,3.1330404521303765,2.3613089587315903,1.415973676166182,0.6820968658638399,0.2960064266924841,0.0725023043802845,0.22960854045639573,0.0204289123063258
266,52.75572316017621,0.05723229290961998,0.06719237931712824,0.05150264108422275,2.4507242240584834,2.6648424301095384,0.8072328600760422,1.075945730596571,0.8995181646338972,0.18565652641031372,0.4721812877391901,0.2229441056961241,0.05705559197382818
264,52.839421941051384,0.06537120669691719,0.07066501341989467,0.052384308189513125,1.6538670098157526,2.6183643876519223,1.1755628808558085,0.3897715832147853,0.5575041804100327,0.21888591755470874,0.498353648833468,0.20303230487926086,0.03957408721386775
275,52.95682674746215,0.05974200797008633,0.0600774120661975,0.05209935685184412,2.2342372650930864,2.999551042439388,1.0187105659282798,0.7609524039160694,0.5015536443035722,0.14355381158151312,0.49790823706993415,0.04582453255886276,0.036414548539629776
285,53.20511197429202,0.05461374598990615,0.06776043097038367,0.0650492680492572,2.3138440592150844,2.9607376677844552,1.4035545504494173,1.1830668157160877,0.8600700207233289,0.2635402340904509,0.43575749487521714,0.28141597593241313,0.00983026013960641
278,53.288539793576,0.05002489501548272,0.06694750971011372,0.058790633520391516,1.7025228590143355,1.990051415204429,0.4186661143448624,1.383484384425608,0.6651404539117403,0.28623352836056304,0.32338780621992036,0.11772855409012473,0.06602494249968374
309,53.45391608778252,0.05784695741232666,0.06252255751468719,0.06057630966139631,1.1321885097196382,2.1509725722866504,1.8265821289960362,2.122618800379234,0.6778655883696156,0.3664412633585343,0.0214514944207768,0.37817378020352443,0.07172258927916643
338,53.61614704120908,0.06471191043679228,0.08073655500009584,0.054278105713441244,2.511583292983479,2.35328461703514,1.2579350286913928,2.45036674460164,0.6660567546587912,0.3384255875217182,0.07981105956649354,0.3530370778086841,0.09208708047499828
145,53.73224321105324,0.05284148977934328,0.08586379979561949,0.051061885119494055,1.9753128174339838,2.6901855011442817,0.3041732107785128,1.0420318851068129,0.7315578549883426,0.4261328892039712,0.015246045272228951,0.49298178911837937,0.12331081205895378
369,53.82587105101322,0.08678159172286429,0.05849874981028746,0.07129666647075107,1.8813337432319188,2.8725200072069796,2.8246388337096335,2.7825640626032393,0.6062211868753109,0.45385322794751415,0.3340598780157082,0.4903150567713559,0.000728741273700738
363,53.997707841512565,0.06955435421690492,0.05665350111578828,0.06189945971236582,1.5383883713664734,3.042242009757862,2.073025186310921,2.672023160024964,0.8236882708222517,0.46512126547336224,0.3823814446822424,0.4988475992785126,0.014957738513751657
212,54.16043384427945,0.06302327930316455,0.06254059209722307,0.05435795356576701,1.8010583087042094,2.8784462250937706,0.23758469633428325,1.495280095278507,0.617448684569415,0.20952318202222686,0.4816999192943728,0.3226469981863086,0.20167175850414523
288,55.24748857963079,0.07459988611724061,0.07251472186347363,0.05780495841957147,1.8981108344818627,1.7960883454462189,1.2579685414676602,0.24518116021728986,0.5220788130985474,0.3054202317814023,0.000913244597699201,0.1490981154379063,0.035978249864418096
